id,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,quality
7129300520,7,1180,0,1955,0,98178,47.5112,-122.257,1340,5650,good
6414100192,7,2170,400,1951,1991,98125,47.721,-122.319,1690,7639,good
5631500400,6,770,0,1933,0,98028,47.7379,-122.233,2720,8062,good
2487200875,7,1050,910,1965,0,98136,47.5208,-122.393,1360,5000,good
1954400510,8,1680,0,1987,0,98074,47.6168,-122.045,1800,7503,good
7237550310,11,3890,1530,2001,0,98053,47.6561,-122.005,4760,101930,good
1321400060,7,1715,0,1995,0,98003,47.3097,-122.327,2238,6819,good
2008000270,7,1060,0,1963,0,98198,47.4095,-122.315,1650,9711,good
2414600126,7,1050,730,1960,0,98146,47.5123,-122.337,1780,8113,good
3793500160,7,1890,0,2003,0,98038,47.3684,-122.031,2390,7570,good
1736800520,8,1860,1700,1965,0,98007,47.6007,-122.145,2210,8925,good
9212900260,7,860,300,1942,0,98115,47.69,-122.292,1330,6000,good
114101516,7,1430,0,1927,0,98028,47.7558,-122.229,1780,12697,good
6054650070,7,1370,0,1977,0,98074,47.6127,-122.045,1370,10208,good
1175000570,7,1810,0,1900,0,98107,47.67,-122.394,1360,4850,good
9297300055,9,1980,970,1979,0,98126,47.5714,-122.375,2140,4000,good
1875500060,7,1890,0,1994,0,98019,47.7277,-121.962,1890,14018,good
6865200140,7,1600,0,1916,0,98103,47.6648,-122.343,1610,4300,good
16000397,7,1200,0,1921,0,98002,47.3089,-122.21,1060,5095,good
7983200060,7,1250,0,1969,0,98003,47.3343,-122.306,1280,8850,good
6300500875,7,860,760,1947,0,98133,47.7025,-122.341,1400,4980,good
2524049179,9,2330,720,1968,0,98040,47.5316,-122.233,4110,20336,good
7137970340,8,2270,0,1995,0,98092,47.3266,-122.169,2240,7005,good
8091400200,7,1070,0,1985,0,98030,47.3533,-122.166,1220,8386,good
3814700200,8,2450,0,1985,0,98030,47.3739,-122.172,2200,6865,good
1202000200,6,1710,0,1941,0,98002,47.3048,-122.218,1030,4705,good
1794500383,8,1750,700,1915,0,98119,47.6386,-122.36,1760,3573,good
3303700376,8,1400,0,1909,0,98112,47.6221,-122.314,1860,3861,good
5101402488,7,790,730,1948,0,98115,47.695,-122.304,1520,6235,good
1873100390,8,2570,0,2005,0,98052,47.7073,-122.11,2630,6026,good
